stn       Nom                                  Parameter        Source de données                                  Longitude/Latitude       Coordonnées [km] Altitude [m]
COM       Acquarossa / Comprovasco             fkl010h0         MeteoSchweiz                                       8d56'/46d28'             714984/146451    575
COM       Acquarossa / Comprovasco             dkl010h0         MeteoSchweiz                                       8d56'/46d28'             714984/146451    575
ABO       Adelboden                            fkl010h0         MeteoSchweiz                                       7d34'/46d30'             609372/148939    1321
ABO       Adelboden                            dkl010h0         MeteoSchweiz                                       7d34'/46d30'             609372/148939    1321
ARH       Altenrhein                           fkl010h0         MeteoSchweiz                                       9d34'/47d29'             760386/261381    397
ARH       Altenrhein                           dkl010h0         MeteoSchweiz                                       9d34'/47d29'             760386/261381    397
AND       Andeer                               fkl010h0         MeteoSchweiz                                       9d26'/46d37'             752691/164038    987
AND       Andeer                               dkl010h0         MeteoSchweiz                                       9d26'/46d37'             752691/164038    987
ANT       Andermatt                            fkl010h0         MeteoSchweiz                                       8d35'/46d38'             687444/165044    1438
ANT       Andermatt                            dkl010h0         MeteoSchweiz                                       8d35'/46d38'             687444/165044    1438
ARO       Arosa                                fkl010h0         MeteoSchweiz                                       9d41'/46d48'             771030/184830    1878
ARO       Arosa                                dkl010h0         MeteoSchweiz                                       9d41'/46d48'             771030/184830    1878
RAG       Bad Ragaz                            fkl010h0         MeteoSchweiz                                       9d30'/47d01'             756910/209350    496
RAG       Bad Ragaz                            dkl010h0         MeteoSchweiz                                       9d30'/47d01'             756910/209350    496
LAT       Bergün / Latsch                      fkl010h0         MeteoSchweiz                                       9d45'/46d38'             777273/166618    1407
LAT       Bergün / Latsch                      dkl010h0         MeteoSchweiz                                       9d45'/46d38'             777273/166618    1407
BEZ       Beznau                               fkl010h0         MeteoSchweiz                                       8d14'/47d33'             659812/267696    325
BEZ       Beznau                               dkl010h0         MeteoSchweiz                                       8d14'/47d33'             659812/267696    325
BIA       Biasca                               fkl010h0         MeteoSchweiz                                       8d59'/46d20'             718550/132800    278
BIA       Biasca                               dkl010h0         MeteoSchweiz                                       8d59'/46d20'             718550/132800    278
BIN       Binn                                 fkl010h0         MeteoSchweiz                                       8d12'/46d22'             657996/135422    1479
BIN       Binn                                 dkl010h0         MeteoSchweiz                                       8d12'/46d22'             657996/135422    1479
BIZ       Bischofszell                         fkl010h0         MeteoSchweiz                                       9d16'/47d31'             737713/263612    507
BIZ       Bischofszell                         dkl010h0         MeteoSchweiz                                       9d16'/47d31'             737713/263612    507
